x,y
1,0.001785
0.9928006,0.0041639
0.9798895,0.0083698
0.9635184,0.0135931
0.9445469,0.0194951
0.9234998,0.0258565
0.9007495,0.0325159
0.876583,0.0393475
0.8512328,0.0462492
0.8248944,0.0531365
0.7977362,0.0599385
0.7699063,0.0665943
0.7415373,0.0730515
0.7127487,0.0792643
0.68365,0.0851925
0.6543419,0.0908
0.6249182,0.0960547
0.5954661,0.1009277
0.5660677,0.1053929
0.5368005,0.1094267
0.5077378,0.113008
0.4789491,0.116118
0.4505011,0.1187406
0.4224571,0.120862
0.3948782,0.1224673
0.3678229,0.1234153
0.3413476,0.1236433
0.3155065,0.1231627
0.2903524,0.1219897
0.2659361,0.1201445
0.2423068,0.1176516
0.2195125,0.1145397
0.1975998,0.1108411
0.1766138,0.106592
0.1565988,0.1018317
0.1375977,0.0966025
0.1196525,0.0909493
0.1028043,0.0849188
0.0870931,0.0785592
0.0725582,0.0719196
0.0592379,0.0650491
0.04717,0.0579961
0.0363913,0.0508078
0.0269381,0.0435292
0.0188458,0.0362021
0.0121494,0.0288649
0.0068832,0.021551
0.0030809,0.0142887
0.0007756,0.0070999
0,0
0.0007756,-0.00679
0.0030809,-0.0130611
0.0068832,-0.0188214
0.0121494,-0.0240789
0.0188458,-0.0288414
0.0269381,-0.0331168
0.0363913,-0.0369134
0.04717,-0.0402406
0.0592379,-0.0431085
0.0725582,-0.0455287
0.0870931,-0.0475146
0.1028043,-0.0490814
0.1196525,-0.0502466
0.1375977,-0.05103
0.1565988,-0.0514538
0.1766138,-0.0515427
0.1975998,-0.0513241
0.2195125,-0.0508276
0.2423068,-0.0500852
0.2659361,-0.0491311
0.2903524,-0.048001
0.3155065,-0.0467323
0.3413476,-0.0453633
0.3678229,-0.043933
0.3948782,-0.0424804
0.4224571,-0.0409741
0.4505011,-0.0393074
0.4789491,-0.0375031
0.5077378,-0.0355874
0.5368005,-0.0335854
0.5660677,-0.0315215
0.5954661,-0.0294182
0.6249182,-0.0272965
0.6543419,-0.0251755
0.68365,-0.0230719
0.7127487,-0.0210003
0.7415373,-0.0189732
0.7699063,-0.0170011
0.7977362,-0.0150927
0.8248944,-0.0132555
0.8512328,-0.0114961
0.876583,-0.0098211
0.9007495,-0.0082382
0.9234998,-0.0067569
0.9445469,-0.005391
0.9635184,-0.0041605
0.9798895,-0.0030969
0.9928006,-0.0022555
1,-0.001785
